filename,xmin,ymin,xmax,ymax,angle,xloc,yloc,zloc
000021.txt,562,166,605,206,1.69,-1,1,31
000023.txt,599,156,629,189,-1.57,0,1,69
000023.txt,372,182,412,205,1.86,-16,2,55
000024.txt,443,168,480,195,-1.67,-7,0,38
000025.txt,896,218,1241,374,-2.1,2,1,3
000025.txt,562,173,618,217,1.75,0,1,30
000025.txt,724,178,805,249,-1.69,3,1,17
000025.txt,650,175,659,205,1.6,2,1,44
000026.txt,633,155,704,211,1.8,3,1,37
000026.txt,555,174,576,191,-1.67,-4,1,68
000027.txt,16,117,314,314,2.06,-7,1,12
000027.txt,590,181,607,194,-1.58,-1,2,73
000028.txt,147,156,205,309,-2.45,-5,1,8
000029.txt,652,174,690,204,-1.71,3,1,41
000030.txt,559,178,588,204,1.58,-2,1,41
000031.txt,334,180,490,297,-1.35,-3,1,12
000031.txt,785,179,1028,340,-1.93,3,1,8
000031.txt,711,179,848,277,-1.8,2,1,13
000031.txt,660,178,713,222,-1.64,2,1,26
000032.txt,178,189,435,344,1.96,-3,1,9
000032.txt,776,182,1014,335,-1.91,3,1,8
000032.txt,340,150,489,274,1.8,-3,1,14
000032.txt,711,180,863,273,-1.79,3,1,13
000032.txt,709,176,777,234,-1.58,3,1,19
000032.txt,725,164,806,219,-1.35,5,1,25
000032.txt,611,163,643,197,-1.61,1,1,44
000032.txt,780,147,917,199,-0.31,12,1,39
000032.txt,494,173,531,199,-1.45,-5,1,44
000033.txt,582,175,601,189,-1.58,-1,1,64
000034.txt,46,196,328,286,0.5,-8,2,14
000034.txt,466,184,522,207,-2.99,-7,2,49
000035.txt,587,173,614,200,-1.58,0,1,46
000035.txt,425,176,529,259,-1.4,-2,1,16
000035.txt,234,185,320,231,1.95,-12,2,27
000035.txt,423,173,433,224,0.21,-5,1,23
000036.txt,553,178,693,311,-1.58,0,1,10
000036.txt,341,194,390,218,1.89,-15,2,46
000036.txt,960,183,1104,229,2.67,15,2,26
000036.txt,1154,178,1241,222,2.53,22,1,26
000036.txt,1123,213,1241,374,-2.06,4,1,4
000037.txt,27,0,512,375,-1.25,-3,1,10
000037.txt,473,183,535,226,-1.46,-3,1,24
000038.txt,592,176,637,219,-1.59,0,1,28
000038.txt,817,176,1038,302,-1.13,4,1,10
000038.txt,749,177,940,262,-1.01,4,1,14
000038.txt,302,188,409,250,1.9,-6,1,18
000038.txt,682,173,796,220,-0.87,4,1,24
000038.txt,640,167,707,198,-0.92,4,1,46
000038.txt,434,175,472,199,1.8,-11,1,52
000038.txt,456,177,487,197,1.79,-11,1,58
000039.txt,114,193,466,374,1.9,-2,1,7
000039.txt,683,184,776,256,-1.72,2,1,16
000039.txt,533,177,574,212,1.64,-2,1,33
000039.txt,653,180,702,220,1.46,2,1,29
000039.txt,561,178,585,201,1.58,-2,1,48
000040.txt,474,179,516,210,1.68,-5,1,35
000040.txt,691,168,700,198,1.13,5,1,42
000041.txt,439,178,508,205,-2.96,-7,1,41
000042.txt,576,174,604,202,-1.57,-1,1,44
000042.txt,390,163,450,196,1.71,-24,2,94
000043.txt,471,174,502,266,-1.73,-2,1,12
000043.txt,441,170,473,268,-1.59,-2,1,12
000043.txt,684,161,711,230,1.19,2,1,20
000043.txt,719,160,745,229,1.09,3,1,20
000044.txt,0,203,365,374,2.11,-3,1,5
000044.txt,378,183,507,276,1.79,-3,1,13
000045.txt,75,192,273,277,2.12,-8,1,15
000045.txt,694,152,734,188,-1.65,11,1,79
000045.txt,269,176,375,242,1.98,-8,1,21
000045.txt,346,186,419,229,1.95,-8,1,27
000045.txt,387,178,455,221,1.87,-8,2,31
000045.txt,455,181,500,209,1.8,-7,2,41
000045.txt,480,181,517,205,1.79,-7,2,46
000046.txt,578,176,625,221,-1.56,0,1,26
000046.txt,597,168,634,207,-1.58,0,1,35
000046.txt,769,151,1087,374,-1.89,2,1,7
000046.txt,706,174,807,254,-1.77,3,1,15
000047.txt,572,171,624,218,-1.57,0,1,26
000047.txt,214,165,423,292,-1.22,-4,1,12
000047.txt,296,182,393,231,-1.24,-8,1,23
000047.txt,428,180,498,226,-1.38,-5,1,25
000047.txt,481,153,537,207,-1.45,-4,1,36
000047.txt,522,176,552,202,-1.49,-4,1,47
000047.txt,0,185,180,253,-0.96,-12,1,17
000047.txt,193,181,294,229,-1.12,-12,1,25
000048.txt,453,159,482,241,-1.42,-3,1,16
000048.txt,600,162,622,206,1.73,0,1,30
000049.txt,595,177,657,227,-1.57,0,1,21
000049.txt,305,179,494,263,-2.24,-4,1,13
000049.txt,435,173,537,218,-2.25,-4,1,24
000049.txt,473,171,556,203,-2.24,-4,1,32
000049.txt,823,189,1083,327,-1.98,4,1,9
000049.txt,753,185,885,263,-1.83,4,1,14
000049.txt,719,169,816,238,-1.78,4,1,20
000049.txt,693,173,709,209,-1.88,3,1,32
000049.txt,776,170,882,211,-0.38,9,1,31
000049.txt,0,178,252,280,2.26,-7,1,12
000049.txt,194,174,341,241,2.19,-8,1,17
000049.txt,603,171,639,204,-1.56,0,1,35
000049.txt,287,175,379,228,1.9,-8,1,21
000049.txt,881,155,1040,215,-0.48,15,1,32
000049.txt,0,170,111,240,2.23,-14,1,17
000050.txt,262,182,469,318,-1.31,-3,1,9
000050.txt,910,159,1241,374,-2.37,2,1,2
000050.txt,641,172,681,206,-1.58,2,1,31
000050.txt,683,153,724,183,-1.24,8,0,65
000051.txt,919,155,967,230,-1.91,7,1,17
000051.txt,713,174,744,204,-1.59,6,1,39
000052.txt,624,177,695,239,1.58,1,1,21
000052.txt,309,179,406,219,-2.9,-11,2,32
000052.txt,40,187,73,212,-1.61,-41,2,54
000052.txt,383,166,639,310,-2.17,-1,1,12
000052.txt,245,199,378,265,-1.96,-7,2,17
000053.txt,865,0,1241,374,-2.32,3,1,2
000053.txt,173,180,429,359,1.86,-3,1,8
000053.txt,444,180,519,231,1.7,-3,1,20
000053.txt,499,171,546,212,1.64,-3,1,28
000053.txt,653,176,706,216,1.46,2,1,29
000053.txt,526,173,563,203,1.64,-3,1,38
000054.txt,768,141,840,316,2.83,2,1,7
000055.txt,31,193,129,230,2.24,-23,2,32
000055.txt,104,188,188,220,2.14,-23,2,36
000055.txt,183,187,245,217,2.08,-23,2,42
000055.txt,227,189,281,211,2.04,-23,2,47
000056.txt,540,181,571,205,1.67,-3,2,48
000057.txt,0,224,199,374,2.55,-3,1,1
000057.txt,514,193,563,231,1.67,-2,2,30
000057.txt,572,176,591,196,1.59,-2,2,76
000058.txt,410,163,498,327,-2.94,-1,1,7
000059.txt,558,180,599,213,-1.56,-1,1,30
000059.txt,509,180,543,205,-1.48,-4,1,41
000059.txt,969,195,1100,246,2.4,12,2,21
000059.txt,567,164,590,195,-1.6,-2,1,54
000060.txt,519,162,545,194,1.59,-7,1,66
000060.txt,305,177,341,196,1.95,-23,1,59
000060.txt,789,178,805,211,-1.83,9,1,36
000061.txt,0,212,41,328,1.66,-9,2,10
000061.txt,69,217,112,254,1.58,-23,3,33
000061.txt,0,218,93,297,1.67,-13,2,16
000061.txt,884,123,923,169,-1.55,16,0,40
000062.txt,409,177,520,250,1.86,-3,1,19
000062.txt,502,185,574,229,1.82,-2,1,27
000062.txt,677,181,704,198,1.81,7,2,66
000062.txt,692,175,717,229,-1.64,3,1,24
000063.txt,875,185,975,253,-1.75,8,1,18
000063.txt,287,172,514,285,-2.55,-3,1,11
000064.txt,657,179,709,219,-1.7,2,1,26
000064.txt,731,180,882,275,-1.85,3,1,13
000064.txt,715,175,762,203,-1.83,6,1,39
000064.txt,816,59,1112,266,-2.01,7,1,16
000065.txt,602,172,626,220,2.67,0,1,25
000065.txt,444,132,516,207,-0.2,-6,1,36
000065.txt,505,128,738,201,-0.39,1,0,39
000065.txt,982,215,1140,373,-2.7,3,1,5
000065.txt,920,205,1000,352,1.64,3,1,6
000065.txt,763,198,823,287,-1.81,2,1,10
000065.txt,800,197,863,285,-2.62,3,1,10
000066.txt,671,168,710,206,-1.53,3,1,31
000067.txt,671,174,702,195,-1.45,5,1,47
000067.txt,0,73,444,270,2.2,-10,2,23
000067.txt,704,171,744,200,-1.45,6,1,38
000067.txt,427,179,600,281,-1.13,-1,1,12
000067.txt,478,182,515,207,1.84,-6,2,43
000067.txt,591,158,651,188,1.23,1,1,89
000068.txt,69,200,435,374,1.94,-3,1,6
000068.txt,0,209,198,374,2.26,-5,1,6
000068.txt,1210,199,1241,374,2.34,4,1,3
000068.txt,478,187,549,249,1.68,-2,2,20
000068.txt,530,187,573,226,1.66,-2,2,31
000068.txt,547,171,584,212,1.63,-2,2,46
000068.txt,667,182,790,230,-0.16,4,1,25
000068.txt,657,184,763,221,-0.11,4,2,32
000068.txt,637,180,714,212,-0.01,3,2,39
000068.txt,572,175,596,199,1.61,-2,2,65
000068.txt,380,167,523,288,1.77,-2,1,14
000068.txt,958,167,1036,254,1.09,7,1,14
000069.txt,501,177,556,194,0.21,-7,1,62
000070.txt,531,146,631,350,2.98,0,1,6
000071.txt,596,174,664,239,-1.57,0,1,19
000071.txt,701,149,725,184,1.54,11,1,83
000072.txt,0,178,117,228,2.26,-19,1,25
000072.txt,290,187,464,288,1.85,-3,1,12
000072.txt,590,174,629,213,-1.57,0,1,32
000073.txt,189,158,256,356,0.8,-3,1,6
000073.txt,752,164,791,288,0.45,2,1,10
000073.txt,444,170,485,241,1.78,-3,1,17
000073.txt,494,168,517,223,1.65,-3,1,24
000073.txt,546,177,560,214,-2.07,-2,1,29
000073.txt,535,174,549,214,-2.02,-2,1,29
000074.txt,688,124,780,363,1.21,1,1,6
000074.txt,778,149,861,355,1.07,1,1,6
000074.txt,935,155,1006,306,0.72,4,1,7
000075.txt,0,137,159,374,2.59,-3,1,1
000075.txt,52,248,401,374,2.11,-3,1,6
000075.txt,452,186,572,264,1.86,-2,1,16
000075.txt,540,182,621,237,1.9,0,1,22
000075.txt,611,182,671,222,1.83,1,1,28
000075.txt,804,165,846,190,-1.29,16,1,53
000076.txt,90,186,329,373,2.39,-2,1,4
000076.txt,964,157,1023,289,-1.35,4,1,9
000076.txt,236,169,288,339,0.66,-3,1,7
000076.txt,413,169,489,291,1.68,-2,1,10
000076.txt,811,152,841,249,-1.9,4,1,13
000076.txt,583,164,608,237,-1.53,0,1,17
000076.txt,524,165,549,230,2.63,-1,1,19
000076.txt,560,165,577,224,1.66,-1,1,22
000076.txt,708,157,729,222,1.43,3,1,21
000077.txt,574,179,616,208,1.74,0,1,39
000078.txt,0,142,336,374,2.02,-3,1,5
000078.txt,222,166,454,308,1.9,-3,1,10
000078.txt,658,166,697,201,-1.47,3,1,34
000078.txt,615,168,651,189,1.78,1,1,51
000079.txt,22,78,452,265,2.18,-10,2,23
000079.txt,701,171,742,201,-1.44,5,1,36
000079.txt,0,183,326,330,-0.7,-6,1,9
000079.txt,590,158,650,188,1.22,1,1,90
000080.txt,536,176,565,202,1.64,-3,1,44
000080.txt,559,176,578,192,1.63,-3,1,68
000080.txt,589,172,633,216,-1.57,0,1,29
000081.txt,563,175,581,191,-1.49,-3,1,76
000081.txt,593,162,621,192,-1.58,0,1,75
000081.txt,0,70,363,303,-1.0,-9,1,15
000081.txt,281,129,447,225,-1.28,-9,1,30
000082.txt,708,167,728,184,-1.62,9,1,63
000082.txt,0,105,200,239,0.49,-17,1,20
000083.txt,0,202,361,373,-0.92,-2,1,3
000083.txt,587,169,643,220,-1.58,0,1,24
000083.txt,519,170,571,215,-1.47,-2,1,26
000083.txt,101,160,334,287,2.04,-6,1,12
000084.txt,459,179,505,227,1.55,-4,1,27
000084.txt,448,181,486,208,1.46,-8,1,42
000085.txt,0,57,245,374,-0.79,-5,1,5
000085.txt,678,164,705,243,-1.54,1,1,17
000085.txt,304,177,359,304,0.9,-3,1,9
000086.txt,0,167,85,374,0.89,-6,1,4
000086.txt,0,198,233,362,-2.48,-6,1,7
000086.txt,357,177,507,223,0.26,-5,1,23
000086.txt,670,163,823,222,-0.2,4,1,22
000086.txt,418,175,519,208,-2.9,-6,1,33
000087.txt,23,183,225,258,2.2,-10,1,16
000087.txt,694,174,735,207,-1.63,4,1,33
000087.txt,560,171,569,196,-0.28,-3,1,49
000087.txt,886,166,939,185,3.04,26,1,62
000087.txt,1053,158,1115,181,2.82,39,0,59
000088.txt,175,191,373,247,0.49,-8,1,19
000089.txt,317,196,504,314,-1.33,-2,1,10
000089.txt,657,176,720,224,-1.7,2,1,24
000089.txt,458,184,538,243,-1.41,-3,1,19
000089.txt,704,177,853,287,-1.79,2,1,12
000089.txt,635,178,665,203,-1.54,2,1,41
000090.txt,5,199,126,269,-1.82,-14,2,18
000091.txt,902,156,947,228,-1.89,7,1,18
000091.txt,709,175,738,203,-1.57,6,1,41
000092.txt,654,176,688,201,-1.4,4,1,47
000092.txt,359,187,456,240,2.01,-6,2,23
000092.txt,420,175,496,228,1.92,-5,2,28
000092.txt,686,173,733,211,-1.66,4,1,31
000092.txt,692,163,724,207,-1.54,5,1,36
000093.txt,0,187,326,374,2.1,-4,1,7
000093.txt,722,168,812,237,-1.72,4,1,21
000093.txt,359,185,479,258,1.86,-4,1,16
000093.txt,550,176,587,202,1.72,-2,1,43
000093.txt,605,174,626,190,1.69,0,1,70
000094.txt,660,189,747,252,-1.72,2,1,19
000095.txt,599,182,667,247,-1.6,0,1,19
000095.txt,774,172,963,270,-1.11,4,1,13
000095.txt,673,181,757,216,-0.91,4,1,30
000095.txt,146,192,340,290,2.03,-6,1,14
000095.txt,452,183,509,222,1.81,-5,2,31
000095.txt,527,181,563,206,1.76,-4,2,48
000095.txt,241,191,355,242,2.01,-10,2,24
000095.txt,327,181,399,228,1.92,-10,2,30
000095.txt,410,183,465,213,1.92,-9,2,40
000095.txt,486,184,533,204,2.0,-7,2,53
000095.txt,71,187,194,239,2.27,-14,1,22
000095.txt,648,178,673,194,-1.42,5,2,72
000096.txt,783,184,1176,339,-0.64,3,1,7
000096.txt,661,160,1003,300,-0.48,3,1,10
000096.txt,279,178,368,242,1.76,-8,1,22
000096.txt,505,185,557,219,1.43,-3,1,31
000096.txt,639,187,879,275,-0.41,2,1,13
000097.txt,536,176,569,194,1.85,-4,1,58
000098.txt,0,0,222,375,-0.47,-4,1,1
000098.txt,345,190,424,240,-1.35,-6,1,22
000098.txt,414,131,493,217,-1.46,-8,1,38
000098.txt,744,186,780,207,-1.3,10,1,49
000098.txt,824,183,852,198,-1.31,22,1,69
000099.txt,0,192,334,374,2.14,-3,1,5
000099.txt,846,184,1241,374,-2.06,3,1,6
000099.txt,311,166,473,282,1.85,-3,1,13
000099.txt,476,175,570,241,1.92,-2,1,19
000099.txt,760,178,894,277,-1.74,3,1,13
000099.txt,749,179,821,244,-1.62,4,1,19
000099.txt,635,176,705,216,1.91,2,1,30
000099.txt,968,150,1045,197,-1.99,18,1,33
000099.txt,906,152,973,193,-1.88,15,0,34
000099.txt,806,140,852,179,-1.44,21,0,70
000100.txt,0,58,320,374,-0.9,-5,1,7
000100.txt,359,182,400,285,0.84,-3,1,11
000100.txt,19,179,206,238,-2.46,-13,1,18
000101.txt,0,212,108,265,2.22,-19,2,24
000101.txt,106,200,220,253,2.09,-15,2,25
000102.txt,1160,213,1241,255,-1.34,13,1,16
000102.txt,1186,176,1241,246,-1.33,16,1,18
000102.txt,1153,180,1221,212,1.81,27,1,34
000103.txt,854,154,921,293,2.81,3,1,9
000104.txt,818,180,882,238,-1.51,7,1,22
000104.txt,362,181,534,261,2.13,-3,1,15
000104.txt,610,182,684,222,1.88,1,1,28
000104.txt,683,182,729,213,1.77,4,1,36
000104.txt,713,181,750,207,1.76,7,2,44
000104.txt,739,181,769,203,1.73,10,2,52
000104.txt,855,185,886,212,-1.53,15,2,43
000105.txt,531,177,554,195,1.62,-5,1,64
000106.txt,0,202,204,291,2.18,-9,1,13
000106.txt,167,187,280,244,2.07,-12,2,22
000106.txt,449,183,483,204,1.78,-10,2,53
000107.txt,812,184,1241,374,-2.08,2,1,4
000107.txt,733,182,934,317,-1.85,2,1,9
000107.txt,683,178,792,258,-1.75,2,1,15
000107.txt,671,179,733,228,-1.67,2,1,23
000107.txt,650,179,692,214,-1.64,2,1,31
000107.txt,634,177,666,203,-1.62,2,1,42
000107.txt,627,154,664,198,-1.64,2,1,49
000108.txt,568,172,674,273,-1.58,0,1,13
000108.txt,862,148,932,247,-1.96,5,1,14
000110.txt,862,129,1241,304,2.5,5,1,8
000110.txt,1184,141,1241,187,-0.76,22,0,24
000110.txt,346,175,449,248,1.73,-5,1,17
000110.txt,420,170,540,256,1.75,-2,1,16
000110.txt,815,143,962,198,-0.35,10,0,26
000110.txt,966,144,1039,182,-2.09,19,0,35
000110.txt,1084,132,1173,177,-2.07,26,0,36
000110.txt,1004,144,1087,178,-2.13,21,0,36
000110.txt,407,178,487,230,1.77,-5,1,24
000110.txt,557,165,591,181,-1.02,-3,0,80
000111.txt,591,174,640,220,-1.59,0,1,26
000111.txt,1187,197,1241,374,-1.55,4,1,4
000111.txt,738,169,918,253,-1.01,4,1,14
000111.txt,684,174,809,227,-0.96,4,1,21
000111.txt,651,164,736,204,-0.95,4,1,36
000111.txt,646,173,712,199,-0.87,4,1,43
000111.txt,393,175,444,206,1.85,-11,1,42
000111.txt,536,160,566,188,1.74,-6,1,80
000111.txt,425,175,465,200,1.83,-11,1,48
000111.txt,490,176,516,192,1.77,-10,1,71
000111.txt,372,177,404,199,1.85,-15,1,49
000111.txt,135,178,175,203,1.43,-28,1,44
000112.txt,1073,148,1241,275,-2.2,11,1,13
000112.txt,0,191,78,374,-2.28,-6,1,4
000112.txt,274,177,461,237,-2.85,-6,1,18
000112.txt,451,174,549,205,0.2,-5,1,34
000112.txt,998,161,1152,225,0.99,13,1,21
000113.txt,924,136,1241,374,-1.75,4,1,7
000113.txt,530,162,585,223,-1.58,-1,1,26
000113.txt,833,127,1087,223,-0.54,10,1,21
000113.txt,318,182,401,229,-1.33,-8,1,25
000113.txt,214,166,318,230,-1.18,-11,1,25
000113.txt,455,171,499,205,-1.51,-5,1,32
000113.txt,692,171,770,215,-1.85,4,1,27
000113.txt,745,166,827,212,-1.9,6,1,28
000113.txt,1119,132,1241,202,0.82,23,1,28
000113.txt,566,136,602,190,1.53,-1,1,51
000113.txt,93,199,259,236,2.06,-14,1,24
000113.txt,0,173,36,215,2.14,-29,2,35
000114.txt,589,187,668,253,-1.59,0,1,17
000114.txt,185,184,302,240,2.04,-11,1,22
000114.txt,888,173,1019,266,2.78,6,1,13
000114.txt,682,157,763,235,-1.68,3,1,21
000114.txt,447,168,472,258,0.08,-3,1,15
000114.txt,445,184,542,220,-2.35,-4,1,30
000114.txt,485,181,556,211,-2.38,-4,1,37
000114.txt,579,180,622,220,-1.55,0,1,29
000114.txt,329,179,388,205,1.96,-14,1,42
000115.txt,466,178,527,202,-2.98,-7,1,46
000116.txt,793,146,1130,369,1.18,3,1,7
000116.txt,682,172,753,230,-1.72,3,1,23
000116.txt,495,181,548,222,1.7,-3,1,29
000116.txt,563,177,606,208,-1.44,-1,1,40
000117.txt,0,185,277,293,-2.62,-7,1,11
000117.txt,739,184,969,278,-0.4,4,1,12
000117.txt,66,176,291,264,-2.79,-8,1,13
000117.txt,110,170,328,253,-2.86,-8,1,16
000117.txt,453,178,492,204,-1.83,-9,2,49
000118.txt,631,172,653,215,2.67,1,1,27
000118.txt,415,134,483,206,-0.15,-8,1,38
000118.txt,474,132,700,203,-0.35,0,1,41
000118.txt,872,203,975,321,-2.56,3,1,7
000118.txt,841,198,902,304,1.7,3,1,9
000119.txt,381,186,479,256,1.8,-4,1,16
000119.txt,446,151,526,230,1.7,-4,1,24
000119.txt,496,183,587,252,1.7,-1,1,17
000119.txt,519,180,550,206,1.66,-4,1,40
000120.txt,57,202,394,374,2.04,-3,1,8
000120.txt,0,210,119,374,2.56,-4,1,2
000120.txt,346,185,485,278,1.86,-3,1,14
000120.txt,455,186,532,243,1.76,-3,1,20
000120.txt,486,186,549,232,1.69,-3,1,25
000120.txt,664,178,721,227,-1.5,2,1,24
000120.txt,716,175,783,212,-1.0,6,1,33
000121.txt,721,170,752,196,-1.51,7,1,42
000121.txt,637,172,683,202,-1.36,2,1,38
000122.txt,581,177,650,244,-1.58,0,1,19
000122.txt,788,160,833,230,-1.9,5,1,19
000122.txt,448,115,553,224,-1.43,-4,1,31
000122.txt,112,1,518,325,-1.31,-4,1,15
000124.txt,815,147,902,176,2.75,13,0,38
000124.txt,543,164,570,185,-1.51,-3,0,52
000124.txt,589,164,611,185,0.0,0,0,57
000124.txt,613,162,621,184,3.12,0,0,58
000124.txt,473,167,484,191,0.25,-10,0,57
000125.txt,207,191,314,224,-2.4,-16,2,34
000125.txt,376,185,418,205,1.87,-15,2,53
000125.txt,62,201,144,232,-2.27,-26,3,37
000125.txt,327,183,399,214,-2.58,-13,2,38
000125.txt,335,187,374,208,1.92,-18,2,52
000125.txt,425,181,464,201,1.8,-12,2,53
000126.txt,315,189,441,267,1.77,-4,1,15
000127.txt,753,181,905,276,-1.81,3,1,13
000127.txt,604,172,676,198,2.59,1,1,42
000127.txt,487,170,502,214,0.16,-4,1,28
000127.txt,845,171,912,223,3.12,8,1,22
000127.txt,796,166,866,192,3.01,14,1,45
000127.txt,962,163,1054,189,2.89,24,0,43
000127.txt,1167,156,1241,189,2.68,34,0,41
000127.txt,381,178,444,204,0.14,-11,1,43
000127.txt,589,175,611,190,1.8,0,1,72
000127.txt,553,175,579,190,1.9,-4,1,72
000128.txt,609,154,657,200,-1.52,1,1,50
000129.txt,53,185,265,288,2.15,-8,2,14
000129.txt,703,154,740,188,-1.64,12,1,81
000129.txt,385,175,451,221,1.88,-8,1,30
000129.txt,429,183,476,214,1.84,-7,2,35
000129.txt,451,178,500,211,1.82,-7,2,40
000130.txt,788,141,882,306,-0.31,2,1,8
000131.txt,205,186,358,240,-0.69,-9,1,20
000131.txt,442,178,530,217,-0.93,-5,1,29
000131.txt,208,180,327,223,2.43,-13,1,27
000131.txt,565,170,601,195,1.86,-2,1,58
000131.txt,576,174,629,202,-1.12,0,1,40
000131.txt,711,173,737,190,-1.3,10,1,64
000132.txt,739,170,786,211,-1.53,6,1,30
000132.txt,749,175,774,194,-1.51,11,0,52
000132.txt,778,171,799,185,-1.69,18,0,74
000134.txt,1084,129,1195,213,-0.32,11,0,15
000134.txt,993,137,1070,203,-0.5,12,0,20
000134.txt,562,158,594,225,0.14,0,1,19
000134.txt,790,154,834,194,-0.55,9,0,30
000134.txt,402,157,427,234,0.26,-4,1,17
000134.txt,858,151,887,197,-1.41,10,0,27
000134.txt,189,181,219,236,0.64,-11,1,20
000134.txt,241,176,270,234,-2.72,-9,1,20
000134.txt,210,172,242,244,-3.01,-9,1,18
000134.txt,334,162,354,234,-2.78,-7,1,19
000134.txt,1137,137,1223,177,-0.71,24,0,28
000134.txt,1028,151,1157,185,-0.58,19,0,28
000135.txt,367,194,448,247,1.83,-6,2,22
000135.txt,662,175,723,221,-1.68,2,1,25
000135.txt,464,181,511,218,1.74,-6,2,36
000135.txt,484,181,522,210,1.73,-6,2,42
000135.txt,0,208,101,248,-0.91,-23,2,30
000135.txt,36,203,157,247,-0.95,-20,2,29
000136.txt,646,165,700,204,-1.39,3,1,34
000136.txt,364,195,436,239,-2.19,-8,2,30
000136.txt,939,163,1129,222,-0.34,11,1,19
000136.txt,863,164,1030,214,-0.21,10,1,22
000136.txt,689,163,724,190,1.7,6,1,45
000137.txt,595,175,627,206,-1.57,0,1,41
000137.txt,0,103,272,267,2.12,-12,2,19
000137.txt,317,186,376,218,1.89,-13,2,37
000137.txt,426,182,458,202,1.8,-13,2,57
000137.txt,438,169,465,196,1.79,-17,2,79
000138.txt,38,181,140,224,-0.95,-20,1,27
000138.txt,382,181,491,251,1.8,-4,1,17
000138.txt,269,176,317,202,-1.14,-20,1,46
000138.txt,547,176,571,194,1.63,-4,1,58
000138.txt,506,172,549,209,1.67,-3,1,35
000138.txt,586,174,623,211,-1.56,0,1,33
000139.txt,594,177,621,204,-1.57,0,2,48
000139.txt,623,163,660,193,-1.65,3,2,74
000140.txt,706,162,820,248,-1.77,3,1,16
000140.txt,453,179,526,235,1.72,-3,1,22
000140.txt,550,173,603,211,-1.44,-1,1,32
000140.txt,685,170,744,209,-1.3,4,1,28
000141.txt,405,184,530,263,1.79,-2,1,15
000142.txt,1199,108,1241,348,-2.28,4,1,5
000142.txt,726,154,916,306,-1.81,2,1,10
000142.txt,688,153,806,252,-1.74,2,1,15
000142.txt,678,170,747,231,-1.67,2,1,21
000142.txt,656,160,672,199,0.63,2,1,35
000142.txt,661,162,676,200,0.63,2,1,36
000142.txt,530,167,560,197,1.67,-4,1,47
